region,gender,year,lowerbound,upperbound,mean_estimate,country,age_group,ci_width,malnutrition_level,condition
South-East Asia,Both,2012,11.79769,14.34598,13.05763,IDN,Adult,2.5482900000000015,Moderate,Malnutrition
Americas,Both,2017,0.53702,1.05413,0.77447,CHL,Adult,0.51711,Low,Malnutrition
Eastern Mediterranean,Both,2022,0.89068,3.14934,1.76419,QAT,Adult,2.25866,Low,Malnutrition
Americas,Both,2013,1.87653,3.03351,2.4095,CRI,Adult,1.1569800000000001,Low,Malnutrition
Europe,Both,2020,1.33896,2.43441,1.82531,BLR,Adult,1.0954500000000003,Low,Malnutrition
Europe,Male,2012,0.7098,2.27166,1.35563,MDA,Adult,1.5618599999999998,Low,Malnutrition
Africa,Male,2022,4.41988,27.18897,13.72398,BDI,Adult,22.769090000000002,Moderate,Malnutrition
Europe,Both,2022,1.7539,3.37254,2.48283,BGR,Adult,1.6186399999999999,Low,Malnutrition
Eastern Mediterranean,Both,2018,1.63994,4.68995,2.92763,BHR,Adult,3.0500099999999994,Low,Malnutrition
Africa,Female,2019,4.26875,8.41116,6.14143,MRT,Adult,4.142410000000001,Low,Malnutrition
Africa,Both,2015,10.58344,13.67258,12.0831,BFA,Adult,3.0891400000000004,Moderate,Malnutrition
Americas,Both,2020,1.50356,5.33233,3.00877,NIC,Adult,3.8287699999999996,Low,Malnutrition
Europe,Both,2017,1.71052,3.21589,2.39452,GRL,Adult,1.5053699999999999,Low,Malnutrition
Africa,Male,2016,12.2476,21.89895,16.85512,COD,Adult,9.651349999999999,Moderate,Malnutrition
Western Pacific,Both,2014,0.25503,1.20565,0.62136,NIU,Adult,0.9506200000000001,Low,Malnutrition
Europe,Male,2020,1.81663,6.43737,3.72056,TJK,Adult,4.62074,Low,Malnutrition
Africa,Both,2016,4.72685,7.34674,5.98442,MUS,Adult,2.61989,Low,Malnutrition
Africa,Male,2018,3.46649,7.96822,5.42675,CPV,Adult,4.50173,Low,Malnutrition
Africa,Male,2022,4.86387,10.75089,7.51048,TGO,Adult,5.88702,Low,Malnutrition
Africa,Male,2019,9.64532,14.20265,11.80387,UGA,Adult,4.55733,Moderate,Malnutrition
Americas,Both,2013,1.234,1.52173,1.37526,PER,Adult,0.28773000000000004,Low,Malnutrition
South-East Asia,Female,2020,2.55604,21.64415,9.8756,PRK,Adult,19.08811,Low,Malnutrition
Europe,Female,2014,2.31857,3.72945,2.96504,DNK,Adult,1.4108800000000001,Low,Malnutrition
Americas,Female,2020,1.27948,6.55787,3.34352,GRD,Adult,5.27839,Low,Malnutrition
Europe,Female,2021,2.36779,6.38211,4.12845,SRB,Adult,4.01432,Low,Malnutrition
Western Pacific,Female,2020,0.05523,0.70049,0.2496,TON,Adult,0.64526,Low,Malnutrition
Eastern Mediterranean,Female,2016,3.40231,5.95394,4.57189,SAU,Adult,2.5516300000000003,Low,Malnutrition
Europe,Male,2022,0.41949,1.05194,0.67589,SVN,Adult,0.6324500000000002,Low,Malnutrition
Eastern Mediterranean,Both,2016,0.68153,1.24677,0.93464,KWT,Adult,0.56524,Low,Malnutrition
Europe,Female,2022,2.05648,4.89533,3.32229,RUS,Adult,2.8388500000000003,Low,Malnutrition
Americas,Female,2020,1.31346,5.30489,2.93466,BRB,Adult,3.9914300000000003,Low,Malnutrition
Europe,Male,2015,0.41536,1.00785,0.67074,ESP,Adult,0.59249,Low,Malnutrition
Europe,Female,2014,2.27758,3.20981,2.73042,TUR,Adult,0.9322300000000001,Low,Malnutrition
Europe,Male,2013,0.69551,2.16027,1.30276,MDA,Adult,1.46476,Low,Malnutrition
Africa,Female,2019,7.88905,15.81566,11.50048,COG,Adult,7.926609999999999,Moderate,Malnutrition
Americas,Female,2017,1.63374,2.71867,2.12932,Argentina,Adult,1.08493,Low,Malnutrition
Africa,Female,2018,7.19689,12.25241,9.55796,GIN,Adult,5.05552,Low,Malnutrition
Europe,Female,2015,3.08737,5.56281,4.2482,SRB,Adult,2.47544,Low,Malnutrition
Europe,Male,2018,0.46063,2.05606,1.04021,MNE,Adult,1.59543,Low,Malnutrition
Europe,Both,2012,2.49801,3.91689,3.15779,UZB,Adult,1.4188800000000001,Low,Malnutrition
Americas,Female,2022,1.38521,3.07235,2.1396,GTM,Adult,1.68714,Low,Malnutrition
Eastern Mediterranean,Female,2014,8.51584,13.60006,10.85725,AFG,Adult,5.084219999999998,Moderate,Malnutrition
Africa,Male,2019,6.89712,15.07643,10.63204,LSO,Adult,8.179310000000001,Moderate,Malnutrition
Africa,Both,2016,8.86556,12.9497,10.8345,TZA,Adult,4.08414,Moderate,Malnutrition
Africa,Female,2018,6.11803,10.3464,8.08905,ZMB,Adult,4.228369999999999,Low,Malnutrition
South-East Asia,Female,2021,20.2225,30.54221,25.30845,TLS,Adult,10.31971,High,Malnutrition
Americas,Female,2021,4.09589,10.0337,6.77655,TTO,Adult,5.93781,Low,Malnutrition
Europe,Male,2019,0.29753,1.85816,0.86234,BIH,Adult,1.56063,Low,Malnutrition
Africa,Male,2013,4.95326,9.09667,6.87718,LBR,Adult,4.143409999999999,Low,Malnutrition
Western Pacific,Male,2019,0.0963,0.95305,0.38014,KIR,Adult,0.8567499999999999,Low,Malnutrition
Africa,Both,2014,8.83307,12.87464,10.7557,MOZ,Adult,4.04157,Moderate,Malnutrition
Americas,Male,2021,0.62758,5.09726,2.14168,PRI,Adult,4.46968,Low,Malnutrition
Americas,Male,2017,0.90072,1.79694,1.30038,Argentina,Adult,0.89622,Low,Malnutrition
Europe,Male,2016,1.19993,2.7566,1.89975,KAZ,Adult,1.5566700000000002,Low,Malnutrition
Africa,Both,2018,16.94435,26.43738,21.38428,CAF,Adult,9.493030000000001,High,Malnutrition
Eastern Mediterranean,Female,2016,7.49698,12.21157,9.70423,AFG,Adult,4.71459,Low,Malnutrition
South-East Asia,Both,2018,14.78091,17.95552,16.36504,BGD,Adult,3.1746099999999995,Moderate,Malnutrition
Americas,Female,2014,0.82031,10.81565,4.27295,BMU,Adult,9.99534,Low,Malnutrition
,Female,2016,2.72138,3.18833,2.9452,EUR,Adult,0.4669500000000002,Low,Malnutrition
Africa,Male,2014,8.12572,15.05066,11.36528,ZMB,Adult,6.924940000000001,Moderate,Malnutrition
Europe,Both,2018,0.70916,1.43023,1.0332,IRL,Adult,0.7210699999999999,Low,Malnutrition
Americas,Female,2012,1.82847,3.32733,2.49586,CRI,Adult,1.4988599999999999,Low,Malnutrition
Africa,Both,2012,8.57425,10.95165,9.74946,NGA,Adult,2.3774000000000015,Low,Malnutrition
Africa,Female,2016,10.33152,28.28639,18.61112,SSD,Adult,17.95487,Moderate,Malnutrition
Africa,Female,2017,13.79925,26.44508,19.80243,CAF,Adult,12.64583,Moderate,Malnutrition
Americas,Both,2017,1.06375,1.32437,1.1877,PER,Adult,0.2606200000000001,Low,Malnutrition
Americas,Female,2016,1.1463,1.92708,1.50175,ECU,Adult,0.7807799999999998,Low,Malnutrition
Africa,Male,2019,9.57435,23.67281,16.04257,COG,Adult,14.098459999999998,Moderate,Malnutrition
Europe,Female,2021,1.31599,2.24318,1.7499,GBR,Adult,0.9271900000000002,Low,Malnutrition
Europe,Female,2013,1.69472,3.19428,2.36987,BEL,Adult,1.49956,Low,Malnutrition
Western Pacific,Female,2019,0.22918,2.322,0.9602,NIU,Adult,2.09282,Low,Malnutrition
Africa,Female,2017,6.37965,10.32442,8.22774,ZMB,Adult,3.94477,Low,Malnutrition
Africa,Male,2012,6.21616,12.10274,8.90468,TGO,Adult,5.88658,Low,Malnutrition
Western Pacific,Both,2014,1.35837,2.90441,2.02136,FSM,Adult,1.5460399999999999,Low,Malnutrition
Africa,Female,2022,7.42665,16.90675,11.83437,COD,Adult,9.480099999999998,Moderate,Malnutrition
Europe,Both,2018,1.40235,2.25986,1.7904,HUN,Adult,0.8575100000000002,Low,Malnutrition
Europe,Female,2015,2.63146,4.53162,3.53114,ROU,Adult,1.90016,Low,Malnutrition
Europe,Both,2012,0.94619,1.43579,1.17743,FIN,Adult,0.4895999999999999,Low,Malnutrition
Americas,Both,2022,1.63639,9.86416,4.63776,ATG,Adult,8.22777,Low,Malnutrition
Europe,Female,2013,2.21246,3.09373,2.6199,SVN,Adult,0.8812699999999998,Low,Malnutrition
Europe,Female,2021,1.22642,3.39864,2.11251,UKR,Adult,2.17222,Low,Malnutrition
Europe,Both,2013,2.18595,3.6672,2.85966,ARM,Adult,1.4812499999999997,Low,Malnutrition
Western Pacific,Both,2018,0.34556,1.25924,0.71663,KIR,Adult,0.9136799999999999,Low,Malnutrition
Europe,Both,2015,1.90445,2.66576,2.26883,TUR,Adult,0.7613100000000002,Low,Malnutrition
Africa,Both,2014,5.34561,7.79405,6.51788,CMR,Adult,2.4484400000000006,Low,Malnutrition
Americas,Male,2019,1.66781,3.1568,2.33795,BRA,Adult,1.48899,Low,Malnutrition
Eastern Mediterranean,Male,2017,2.57167,5.7473,3.99526,OMN,Adult,3.17563,Low,Malnutrition
Americas,Male,2016,1.12826,3.23458,2.03339,URY,Adult,2.1063199999999997,Low,Malnutrition
Africa,Male,2016,3.95392,8.21137,5.88445,DZA,Adult,4.25745,Low,Malnutrition
Western Pacific,Female,2021,1.31523,2.72931,1.95827,AUS,Adult,1.41408,Low,Malnutrition
Africa,Male,2018,4.06104,14.93245,8.5763,Gabon,Adult,10.87141,Low,Malnutrition
Western Pacific,Male,2019,8.11494,14.66284,11.21275,KHM,Adult,6.5478999999999985,Moderate,Malnutrition
Africa,Male,2021,14.79438,27.42801,20.92457,SEN,Adult,12.63363,High,Malnutrition
Europe,Female,2012,2.07078,3.21541,2.61056,EST,Adult,1.1446299999999998,Low,Malnutrition
Africa,Both,2021,7.40329,11.89756,9.57306,NGA,Adult,4.49427,Low,Malnutrition
Africa,Female,2021,4.9783,9.66221,7.1256,Sierra Leone,Adult,4.68391,Low,Malnutrition
Europe,Both,2012,0.97234,1.81064,1.35086,NLD,Adult,0.8383,Low,Malnutrition
Eastern Mediterranean,Both,2012,13.16782,25.5133,19.07013,SOM,Adult,12.34548,Moderate,Malnutrition
Americas,Both,2022,2.48446,5.19487,3.69713,LCA,Adult,2.71041,Low,Malnutrition
,Male,2022,5.0775,7.42011,6.19521,EMR,Adult,2.3426100000000005,Low,Malnutrition
Americas,Both,2014,1.97043,3.23265,2.56871,PAN,Adult,1.2622200000000001,Low,Malnutrition
Americas,Male,2020,2.28189,6.35232,4.03699,BHS,Adult,4.07043,Low,Malnutrition
Africa,Male,2018,8.31452,25.42898,16.12373,TCD,Adult,17.11446,Moderate,Malnutrition
Africa,Male,2019,4.58659,8.76677,6.51874,LBR,Adult,4.180179999999999,Low,Malnutrition
Eastern Mediterranean,Female,2018,2.34228,3.65745,2.96419,JOR,Adult,1.3151699999999997,Low,Malnutrition
Africa,Female,2022,3.65566,9.02827,6.00234,MUS,Adult,5.372609999999999,Low,Malnutrition
Africa,Male,2022,8.48865,25.07533,15.93775,COG,Adult,16.58668,Moderate,Malnutrition
Africa,Male,2022,4.50316,16.13682,9.38544,MLI,Adult,11.633659999999999,Low,Malnutrition
Europe,Male,2018,0.33437,1.22807,0.70565,HRV,Adult,0.8936999999999999,Low,Malnutrition
Africa,Male,2016,4.21223,11.8099,7.53035,COM,Adult,7.597670000000001,Low,Malnutrition
Europe,Male,2019,0.70122,2.23276,1.34196,ROU,Adult,1.53154,Low,Malnutrition
Europe,Female,2022,0.89971,5.09021,2.50896,ISL,Adult,4.1905,Low,Malnutrition
Western Pacific,Female,2021,6.15775,11.8733,8.75701,SGP,Adult,5.71555,Low,Malnutrition
Europe,Female,2013,0.84889,1.70934,1.24278,IRL,Adult,0.86045,Low,Malnutrition
Europe,Both,2012,1.55564,3.14226,2.27674,BLR,Adult,1.58662,Low,Malnutrition
Western Pacific,Male,2022,3.42033,12.91739,7.41247,LAO,Adult,9.49706,Low,Malnutrition
Europe,Both,2021,1.52305,3.0629,2.1965,DNK,Adult,1.53985,Low,Malnutrition
Eastern Mediterranean,Male,2019,5.41346,26.46062,13.99196,DJI,Adult,21.047159999999998,Moderate,Malnutrition
Eastern Mediterranean,Both,2019,6.06156,21.50767,12.71105,DJI,Adult,15.446110000000001,Moderate,Malnutrition
Eastern Mediterranean,Female,2016,2.28559,3.40165,2.82716,JOR,Adult,1.11606,Low,Malnutrition
,Male,2021,1.06648,1.53981,1.28404,EUR,Adult,0.4733299999999998,Low,Malnutrition
,Both,2014,5.17007,5.64808,5.40705,WB_UMI,Adult,0.47801000000000027,Low,Malnutrition
Europe,Both,2014,1.25218,2.14486,1.65888,BEL,Adult,0.8926799999999999,Low,Malnutrition
Africa,Male,2013,6.8442,10.31606,8.48413,GHA,Adult,3.4718600000000004,Low,Malnutrition
Western Pacific,Male,2015,0.07596,0.56702,0.24899,WSM,Adult,0.49105999999999994,Low,Malnutrition
Western Pacific,Female,2019,0.0373,0.87205,0.27903,ASM,Adult,0.83475,Low,Malnutrition
,Both,2015,17.17453,18.56628,17.87448,SEAR,Adult,1.3917499999999983,Moderate,Malnutrition
South-East Asia,Both,2022,8.07342,12.03147,9.92529,NPL,Adult,3.95805,Low,Malnutrition
,Both,2016,11.41487,12.52975,11.96325,AFR,Adult,1.1148799999999994,Moderate,Malnutrition
Europe,Female,2018,2.0513,3.28492,2.63966,TUR,Adult,1.2336200000000002,Low,Malnutrition
Americas,Female,2022,0.66411,11.5569,4.22759,ATG,Adult,10.892790000000002,Low,Malnutrition
Europe,Both,2020,1.65222,3.51723,2.47403,GRL,Adult,1.86501,Low,Malnutrition
Europe,Both,2012,1.2702,2.1091,1.65339,BEL,Adult,0.8389000000000002,Low,Malnutrition
Africa,Male,2019,5.5123,20.34516,11.8132,MRT,Adult,14.83286,Moderate,Malnutrition
Europe,Female,2020,2.69743,5.1379,3.78846,BGR,Adult,2.44047,Low,Malnutrition
Americas,Male,2013,1.46167,3.24818,2.24478,GTM,Adult,1.78651,Low,Malnutrition
Europe,Both,2016,0.71572,1.32976,0.99796,IRL,Adult,0.61404,Low,Malnutrition
Africa,Both,2020,21.06312,27.65262,24.29811,ETH,Adult,6.5894999999999975,High,Malnutrition
Europe,Female,2019,2.56703,6.34845,4.21709,KGZ,Adult,3.78142,Low,Malnutrition
Africa,Female,2014,10.41606,14.11907,12.23789,GMB,Adult,3.703010000000001,Moderate,Malnutrition
Europe,Male,2018,0.84822,1.44131,1.1128,DNK,Adult,0.5930900000000001,Low,Malnutrition
Eastern Mediterranean,Male,2013,11.08299,15.52103,13.25172,PAK,Adult,4.438039999999999,Moderate,Malnutrition
Eastern Mediterranean,Both,2017,9.4698,12.30491,10.82752,PAK,Adult,2.8351100000000002,Moderate,Malnutrition
Africa,Female,2012,21.20166,25.64808,23.39316,ETH,Adult,4.44642,High,Malnutrition
Americas,Male,2021,2.55132,6.70715,4.31517,CUB,Adult,4.15583,Low,Malnutrition
Europe,Female,2016,2.26027,3.58402,2.8813,POL,Adult,1.3237500000000004,Low,Malnutrition
Eastern Mediterranean,Male,2019,1.28195,7.16064,3.62157,SYR,Adult,5.87869,Low,Malnutrition
Americas,Both,2017,1.64363,5.00362,2.9936,NIC,Adult,3.35999,Low,Malnutrition
Europe,Both,2018,1.68681,3.17203,2.35555,AZE,Adult,1.48522,Low,Malnutrition
Eastern Mediterranean,Female,2012,1.75122,3.29226,2.45343,PSE,Adult,1.5410400000000002,Low,Malnutrition
Eastern Mediterranean,Male,2016,2.26699,7.64596,4.5412,LBY,Adult,5.37897,Low,Malnutrition
Europe,Male,2018,0.51879,1.17798,0.79667,AUT,Adult,0.65919,Low,Malnutrition
Europe,Female,2022,1.54048,4.42605,2.78558,ESP,Adult,2.88557,Low,Malnutrition
Europe,Female,2016,2.21874,4.79557,3.33396,SVK,Adult,2.5768299999999997,Low,Malnutrition
Western Pacific,Both,2020,0.07407,0.68872,0.27871,ASM,Adult,0.61465,Low,Malnutrition
Americas,Both,2013,6.19674,9.36533,7.69635,GUY,Adult,3.16859,Low,Malnutrition
Americas,Male,2019,0.92082,3.3775,1.94232,URY,Adult,2.45668,Low,Malnutrition
Americas,Both,2019,1.72574,3.48243,2.46709,GTM,Adult,1.7566899999999999,Low,Malnutrition
Americas,Female,2020,0.68767,10.98458,4.09818,BMU,Adult,10.296909999999999,Low,Malnutrition
Americas,Male,2012,3.45702,7.1831,5.14798,TTO,Adult,3.7260799999999996,Low,Malnutrition
,Both,2020,13.05305,15.05015,14.05166,SEAR,Adult,1.9970999999999997,Moderate,Malnutrition
Eastern Mediterranean,Male,2016,1.12436,3.56111,2.136,QAT,Adult,2.43675,Low,Malnutrition
Western Pacific,Both,2012,0.43087,1.21895,0.76633,KIR,Adult,0.78808,Low,Malnutrition
Western Pacific,Male,2020,6.53014,13.41756,9.71507,PHL,Adult,6.88742,Low,Malnutrition
Americas,Female,2022,1.17007,4.12154,2.38392,BLZ,Adult,2.9514700000000005,Low,Malnutrition
Eastern Mediterranean,Both,2016,2.16527,3.55461,2.79516,PSE,Adult,1.3893399999999998,Low,Malnutrition
Americas,Female,2019,1.38181,5.1486,2.93447,BRB,Adult,3.7667900000000003,Low,Malnutrition
Europe,Both,2017,0.71245,1.37703,1.01369,IRL,Adult,0.66458,Low,Malnutrition
Africa,Female,2017,28.48815,41.43306,34.9979,ERI,Adult,12.944909999999997,High,Malnutrition
Europe,Both,2014,1.00265,2.50745,1.64072,ISL,Adult,1.5048,Low,Malnutrition
Europe,Male,2022,1.25606,4.38616,2.58456,TKM,Adult,3.1301000000000005,Low,Malnutrition
Europe,Male,2015,0.71856,1.77621,1.16966,SRB,Adult,1.0576500000000002,Low,Malnutrition
Europe,Male,2014,0.4185,0.95974,0.65464,ESP,Adult,0.54124,Low,Malnutrition
Europe,Both,2014,1.42069,1.90464,1.64918,SVN,Adult,0.4839500000000001,Low,Malnutrition
Europe,Male,2014,0.77706,2.26923,1.4012,GRL,Adult,1.4921699999999998,Low,Malnutrition
Eastern Mediterranean,Both,2016,2.76783,5.67095,4.10016,TUN,Adult,2.9031200000000004,Low,Malnutrition
Europe,Both,2013,1.55834,2.37414,1.93756,HUN,Adult,0.8158000000000001,Low,Malnutrition
Europe,Male,2019,1.44826,3.92583,2.52899,TKM,Adult,2.47757,Low,Malnutrition
Americas,Female,2022,2.4241,5.59341,3.84088,CUB,Adult,3.1693100000000003,Low,Malnutrition
Europe,Female,2015,4.0956,5.90266,4.92987,FRA,Adult,1.8070599999999999,Low,Malnutrition
Eastern Mediterranean,Both,2017,1.62385,4.98639,3.07269,SYR,Adult,3.36254,Low,Malnutrition
Western Pacific,Male,2012,9.18583,16.52049,12.70676,KHM,Adult,7.3346599999999995,Moderate,Malnutrition
Europe,Both,2022,0.73906,1.77418,1.18854,FIN,Adult,1.03512,Low,Malnutrition
Europe,Male,2013,0.50306,0.9191,0.6828,CHE,Adult,0.4160400000000001,Low,Malnutrition
Western Pacific,Both,2015,7.88286,12.67584,10.1602,LAO,Adult,4.792980000000001,Moderate,Malnutrition
South-East Asia,Female,2013,5.84374,8.04261,6.88955,THA,Adult,2.1988699999999994,Low,Malnutrition
Europe,Female,2016,0.96139,3.85606,2.14774,LTU,Adult,2.8946699999999996,Low,Malnutrition
Europe,Both,2012,2.26037,3.35918,2.79022,ROU,Adult,1.0988099999999998,Low,Malnutrition
,Both,2020,7.1974,7.86292,7.52569,GLOBAL,Adult,0.6655199999999999,Low,Malnutrition
,Male,2013,4.69621,5.38724,5.03993,WB_UMI,Adult,0.6910300000000005,Low,Malnutrition
Americas,Female,2020,2.42241,4.05674,3.19579,BRA,Adult,1.6343299999999994,Low,Malnutrition
Western Pacific,Female,2015,6.90035,10.26697,8.51382,SGP,Adult,3.36662,Low,Malnutrition
Europe,Both,2020,1.80978,3.43194,2.53327,UZB,Adult,1.62216,Low,Malnutrition
Africa,Both,2014,10.74173,13.81533,12.2272,BFA,Adult,3.073599999999999,Moderate,Malnutrition
Africa,Male,2015,14.43042,23.14616,18.74597,NER,Adult,8.715739999999998,Moderate,Malnutrition
Europe,Female,2018,1.03331,2.98908,1.83214,NOR,Adult,1.95577,Low,Malnutrition
Europe,Male,2014,1.90747,5.90366,3.62821,TJK,Adult,3.9961900000000004,Low,Malnutrition
Europe,Both,2014,2.36725,3.76461,3.0067,UZB,Adult,1.39736,Low,Malnutrition
Western Pacific,Both,2012,3.83772,4.38134,4.10235,KOR,Adult,0.5436199999999998,Low,Malnutrition
Europe,Both,2021,0.89777,2.12658,1.44118,HRV,Adult,1.2288100000000002,Low,Malnutrition
Europe,Female,2019,0.78344,4.03009,2.06791,LTU,Adult,3.2466500000000003,Low,Malnutrition
Europe,Both,2012,2.06367,3.40801,2.68677,CHE,Adult,1.3443399999999999,Low,Malnutrition
Americas,Female,2012,1.2245,1.97751,1.5801,ECU,Adult,0.7530100000000002,Low,Malnutrition
Americas,Female,2014,0.91912,12.16017,4.68364,ATG,Adult,11.241050000000001,Low,Malnutrition
Eastern Mediterranean,Female,2020,2.36686,3.96968,3.1084,JOR,Adult,1.60282,Low,Malnutrition
Europe,Male,2021,0.32574,1.32627,0.71514,DEU,Adult,1.0005300000000001,Low,Malnutrition
Africa,Both,2016,6.4204,15.45136,10.59533,AGO,Adult,9.03096,Moderate,Malnutrition
Europe,Male,2016,0.38425,1.58145,0.8565,UKR,Adult,1.1972,Low,Malnutrition
Western Pacific,Both,2014,5.53319,7.42599,6.44314,SGP,Adult,1.8927999999999994,Low,Malnutrition
Americas,Female,2016,2.48612,6.13933,4.08495,VCT,Adult,3.65321,Low,Malnutrition
Europe,Both,2015,0.81191,1.68712,1.19447,NOR,Adult,0.8752099999999999,Low,Malnutrition
Western Pacific,Female,2019,0.08952,1.37748,0.48707,COK,Adult,1.28796,Low,Malnutrition
Africa,Female,2016,6.81235,10.16274,8.40395,TGO,Adult,3.350389999999999,Low,Malnutrition
Western Pacific,Female,2012,1.14832,3.49693,2.14351,PYF,Adult,2.34861,Low,Malnutrition
Europe,Both,2020,1.16549,2.49845,1.76007,ESP,Adult,1.3329600000000001,Low,Malnutrition
Europe,Female,2014,2.66073,4.94962,3.70895,GEO,Adult,2.2888900000000003,Low,Malnutrition
Americas,Both,2019,1.34253,2.01986,1.66791,USA,Adult,0.67733,Low,Malnutrition
Americas,Male,2017,0.77696,4.32674,2.05657,PRI,Adult,3.54978,Low,Malnutrition
Eastern Mediterranean,Male,2021,5.88587,18.39348,11.32886,YEM,Adult,12.50761,Moderate,Malnutrition
Europe,Male,2012,1.41043,2.37559,1.86552,TUR,Adult,0.9651599999999998,Low,Malnutrition
Western Pacific,Female,2013,1.47525,2.01646,1.73398,NZL,Adult,0.54121,Low,Malnutrition
Europe,Male,2013,0.91545,2.48685,1.58143,GEO,Adult,1.5714000000000001,Low,Malnutrition
Western Pacific,Male,2016,8.60801,15.29409,11.78786,KHM,Adult,6.6860800000000005,Moderate,Malnutrition
Americas,Male,2015,1.9837,3.0089,2.46263,BRA,Adult,1.0252000000000001,Low,Malnutrition
Americas,Both,2015,1.7351,2.88672,2.25641,GTM,Adult,1.1516199999999999,Low,Malnutrition
Africa,Both,2022,9.62834,14.23762,11.81176,KEN,Adult,4.60928,Moderate,Malnutrition
Europe,Male,2014,0.41497,1.74148,0.94062,UKR,Adult,1.3265099999999999,Low,Malnutrition
Western Pacific,Female,2012,2.67804,6.84253,4.48647,PNG,Adult,4.16449,Low,Malnutrition
Europe,Female,2019,1.87105,3.48333,2.59047,HUN,Adult,1.61228,Low,Malnutrition
Americas,Male,2016,0.58321,1.15277,0.83616,CAN,Adult,0.5695600000000001,Low,Malnutrition
Western Pacific,Male,2022,1.48536,2.77283,2.06725,KOR,Adult,1.28747,Low,Malnutrition
Europe,Female,2022,1.01201,3.14362,1.86672,UKR,Adult,2.13161,Low,Malnutrition
Africa,Both,2020,4.78108,8.29828,6.40104,STP,Adult,3.5172,Low,Malnutrition
,Female,2018,6.64565,7.93085,7.25943,WPR,Adult,1.2852000000000006,Low,Malnutrition
South-East Asia,Female,2014,5.66344,7.89918,6.72661,THA,Adult,2.2357400000000007,Low,Malnutrition
Africa,Both,2012,7.32648,10.24147,8.7243,MWI,Adult,2.9149899999999995,Low,Malnutrition
South-East Asia,Female,2020,9.57452,14.60677,11.99234,LKA,Adult,5.0322499999999994,Moderate,Malnutrition
Africa,Both,2012,3.40842,5.80937,4.50247,SWZ,Adult,2.4009500000000004,Low,Malnutrition
South-East Asia,Male,2022,9.91203,22.66439,16.01088,MMR,Adult,12.752360000000001,Moderate,Malnutrition
Europe,Both,2013,0.90123,2.39905,1.54579,LTU,Adult,1.49782,Low,Malnutrition
Africa,Female,2017,3.62852,7.03757,5.22293,ZWE,Adult,3.4090499999999997,Low,Malnutrition
Europe,Both,2019,2.3781,4.10241,3.17588,KAZ,Adult,1.72431,Low,Malnutrition
Americas,Male,2018,1.0256,7.73257,3.46016,NIC,Adult,6.70697,Low,Malnutrition
Western Pacific,Female,2022,1.23033,6.1687,3.1889,FJI,Adult,4.938370000000001,Low,Malnutrition
South-East Asia,Both,2020,4.50695,17.62511,9.98469,PRK,Adult,13.11816,Low,Malnutrition
South-East Asia,Male,2021,4.89039,9.5726,7.02603,MDV,Adult,4.6822099999999995,Low,Malnutrition
Western Pacific,Male,2018,3.23509,6.64736,4.74038,SGP,Adult,3.41227,Low,Malnutrition
Eastern Mediterranean,Female,2020,1.89671,7.37077,4.25374,LBY,Adult,5.474060000000001,Low,Malnutrition
Europe,Male,2020,0.49116,1.88068,1.03667,BEL,Adult,1.3895199999999999,Low,Malnutrition
Africa,Male,2012,7.12045,10.68829,8.8198,GHA,Adult,3.5678400000000003,Low,Malnutrition
Europe,Male,2022,1.11302,2.33437,1.65294,GBR,Adult,1.22135,Low,Malnutrition
Europe,Female,2014,1.46603,5.67677,3.20067,AND,Adult,4.21074,Low,Malnutrition
Europe,Male,2016,1.08684,2.3902,1.66977,RUS,Adult,1.30336,Low,Malnutrition
Western Pacific,Female,2020,11.27174,16.208,13.67052,VNM,Adult,4.936259999999999,Moderate,Malnutrition
Africa,Female,2018,16.79924,23.7189,20.1485,MDG,Adult,6.91966,High,Malnutrition
,Male,2016,13.34322,14.94808,14.1437,WB_LMI,Adult,1.6048599999999986,Moderate,Malnutrition
Europe,Both,2022,1.09806,2.73491,1.79642,BEL,Adult,1.6368500000000001,Low,Malnutrition
Western Pacific,Female,2022,0.63706,4.06742,1.88081,FSM,Adult,3.4303600000000003,Low,Malnutrition
Europe,Male,2018,0.26152,1.06733,0.58742,SWE,Adult,0.8058099999999999,Low,Malnutrition
Eastern Mediterranean,Male,2014,3.00551,5.9067,4.32594,OMN,Adult,2.9011899999999997,Low,Malnutrition
Americas,Female,2014,9.31294,13.57029,11.32474,HTI,Adult,4.257350000000001,Moderate,Malnutrition
Africa,Female,2014,14.18567,21.16204,17.59797,TCD,Adult,6.976370000000001,Moderate,Malnutrition
Africa,Male,2013,4.72072,8.80189,6.62308,DZA,Adult,4.08117,Low,Malnutrition
Africa,Both,2019,7.2201,13.80804,10.2083,GIN,Adult,6.58794,Moderate,Malnutrition
Europe,Female,2014,3.60027,5.98182,4.70325,KAZ,Adult,2.38155,Low,Malnutrition
Europe,Both,2012,2.19021,3.44765,2.78139,BGR,Adult,1.25744,Low,Malnutrition
Americas,Female,2012,1.88261,6.70497,3.89056,GRD,Adult,4.822360000000001,Low,Malnutrition
Europe,Female,2017,1.33537,6.04662,3.21721,AND,Adult,4.71125,Low,Malnutrition
Africa,Female,2019,6.64088,13.05194,9.56214,MOZ,Adult,6.41106,Low,Malnutrition
Western Pacific,Both,2020,1.05299,1.49481,1.26617,NZL,Adult,0.4418199999999999,Low,Malnutrition
Africa,Both,2020,6.7445,12.56343,9.41602,MLI,Adult,5.81893,Low,Malnutrition
